Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Investor,Founders
Ora,"Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",Seed,—,"Kolkata, West Bengal, India",Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata., , , 
Predible Health,Medical Device,Seed,—,"Bangalore, Karnataka, India",Healthcare devices for cancer detection, , , 
Syncremedies Healthcare Pvt Ltd,"Alternative Medicine, Health Care",Seed,—,"Bangalore, Karnataka, India","Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.", , , 
Blueleaf Cyberspace Systems,"Internet, Software",Seed,—,"Bangalore, Karnataka, India",Bluleaf Cyberspace is Cloud Based Software Company., , , 
DheeYantra Research Labs,Artificial Intelligence,Seed,—,"Bangalore, Karnataka, India","DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages", , , 
FreightBazaar,Transportation,Seed,—,"Hyderabad, Andhra Pradesh, India",FreightBazaar.com is an online platform that connects Truck suppliers with Truck users., , , 
OPEN,Banking,Seed,—,"Bangalore, Karnataka, India",Open up to a new world of Banking, , , 
Wishfie,Apps,Seed,—,"Bangalore, Karnataka, India",A platform for people to express their opinions in form of short videos around any topic., , , 
The Social Hook,Marketing,Seed,—,"Bengaluru, Karnataka, India",Fast growing Influencer Marketing platform in India., , , 
FreightBro,"Apps, B2B, Freight Service, Logistics, SaaS, Shipping, Supply Chain Management, Transportation",Seed,—,"Mumbai, Maharashtra, India",Software for the new-age freight, , , 
Finwego,—,Seed,—,"Chennai, Tamil Nadu, India",Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees, , , 
Cricnwin,"Digital Entertainment, Fantasy Sports, Gaming, Sports",Seed,—,"Gurgaon, Haryana, India",Cricnwin is a Gurugram - based Fan Engagement Platform, , , 
Gaia Smart Cities,"Smart Cities, Telecommunications",Seed,—,"Mumbai, Maharashtra, India",Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace., , , 
Perspectico,"Career Planning, Education, Internet",Seed,—,"New Delhi, Delhi, India",An Education Management startup., , , 
Flickstree,"Advertising, Artificial Intelligence, Digital Media, iOS, Location Based Services, News, Video, Video on Demand, Video Streaming",Seed,—,"Mumbai, Maharashtra, India","Flickstree is a smart video content aggregator, powered by Artificial Intelligence.", , , 
Sportido,"Social Media, Sports",Seed,—,"Noida, Uttar Pradesh, India",Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you., , , 
Try & Buy,"E-Commerce, Fashion, Shopping",Seed,—,"New Delhi, Delhi, India",Try & Buy, , , 
Cloudnine Hospitals,"Child Care, Health Care, Hospital, Medical, Women's",Private Equity,—,"Bangalore, Karnataka, India",Cloudnine is an Indian chain of women and child care hospitals., , , 
Billdesk,"Finance, FinTech, Payments, Property Development, Rental",Venture - Series Unknown,—,"Ahmedabad, Gujarat, India","BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying", , , 
Asset Reconstruction Company (India) Ltd.,"Financial Services, Professional Services",Secondary Market,—,"Mumbai, Maharashtra, India",Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company., , , 
Cred,—,Seed,—,"Bengaluru, Karnataka, India",Cred is a platform to celebrate and reward the most creditworthy people of India., , , 
FarmTaaza,"Agriculture, Farmers Market, Farming",Series A,—,"Bengaluru, Karnataka, India",Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer., , , 
Mobycy,"Fitness, GreenTech, Internet of Things, Mobile Apps, Ride Sharing, Transportation",Angel,—,"Gurgaon, Haryana, India",India's 1st Dockless Bicycle Sharing App, , , 
Em Personal Care,Cosmetics,Seed,—,"Worli, Maharashtra, India",Em Personal Care is a Cosmetic products manufacturing Company., , , 
Eupheus Learning,"E-Learning, EdTech, Education",Seed,—,"Delhi, Delhi, India",Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India., , , 
Clensta,"Biotechnology, Health Care, Wellness",Seed,—,"New Delhi, Delhi, India",A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation., , , 
Medimetry,Health Care,Seed,—,"Haryana, Haryana, India","MediMetry is an online platform where patients can consult specialists doctors online - from anywhere, at anytime.", , , 
RAHI Care,"Health Care, Hospital",Venture - Series Unknown,—,"Chandigarh, Chandigarh, India",RAHI Care is a Health Care company., , , 
Mynvax,Biotechnology,Angel,—,"Bangalore, Karnataka, India",Mynvax is a biotech Company., , , 
Loans4SME,Financial Services,Seed,—,"Mumbai, Maharashtra, India",Loans4SME is an alternative lending platform., , , 
UpCyclersLab,"Apps, Education, Retail",Seed,—,"Mumbai, Maharashtra, India",UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five., , , 
Cellerite Systems,Electric Vehicle,Seed,—,"Hyderabad, Andhra Pradesh, India",Cellerite Systems is a charging solutions provider for electric vehicles., , , 
Taru Naturals,"Agriculture, Farming",Seed,—,"Mumbai, Maharashtra, India",Taru Naturals is a network that connects farmer communities with clean technology and renewable energy., , , 
FarmersFZ,Agriculture,Seed,—,"Kochi, Kerala, India",FarmersFZ is an online venture for fresh and safe vegetables and agri products., , , 
Singularity Dynamics,Artificial Intelligence,Seed,—,"Bengaluru, Karnataka, India",Singularity Dynamics is a Chip-design testing startup., , , 
Manjushree Technopack,Packaging Services,Private Equity,—,"Bangalore, Karnataka, India",Manjushree Technopack is a Rigid plastics packaging convertor in India and South Asia., , , 
RevFin,"Accounting, Banking, Finance",Seed,—,"Delhi, Delhi, India",RevFin is a digital lending company., , , 
Spoofin,"Music, Social Network, Video",Venture - Series Unknown,—,"New Delhi, Delhi, India",A social networking app that lets you create and view Spoofs of your favourite videos., , , 
Strom Motors,Automotive,Angel,—,"Mumbai, Maharashtra, India",Strom Motors is a smart urban mobility Company., , , 
docturnal,"Biotechnology, Diabetes, Health Care",Seed,—,"Hyderabad, Andhra Pradesh, India","Docturnal, an online platform, enables individuals to find information and diagnostic services related to diabetes, cancer, and more.", , , 
Technology 9 Labs (T9L),Information Technology,Corporate Round,—,"New Delhi, Delhi, India",Technology 9 Labs is an Information Technology and Services company., , , 
DailyNinja,"Apps, Mobile, Mobile Apps, Software",Series A,—,"Bengaluru, Karnataka, India","Daily Ninja, a mobile app that delivers daily needs on a subscription model", , , 
Knocksense,"News, Publishing, Social Media",Seed,—,"Lucknow, Uttar Pradesh, India",Knocksense is a fast growing lifestyle website., , , 
Togedr,—,Venture - Series Unknown,—,"Gurgaon, Haryana, India",Togedr is an activity discovery & booking platform., , , 
Max Healthcare,"Health Care, Hospital, Supply Chain Management",Corporate Round,—,"New Delhi, Delhi, India",Max Healthcare is one of the leading chain of hospitals in India., , , 
Furlenco,"Consumer, Furniture, Home Decor, Home Improvement",Series C,—,"Bangalore, Karnataka, India",Furlenco is a Bangalore-based company that offers a home furniture subscription program., , , 
Xplorabox,"E-Commerce, Education, Health Care",Seed,—,"Noida, Uttar Pradesh, India",Xplorabox is as an educational activity box subscription startup aiming to revolutionize the early education industry., , , 
BabyChakra,"Child Care, Information Technology",Series B,—,"Mumbai, Maharashtra, India",BabyChakra is India's largest & most loved platform to discover the right maternity and childcare., , , 
Moonshine Meadery,Food and Beverage,Seed,—,"Pune, Maharashtra, India",Moonshine Meadery is a first craft meadery., , , 
Connect India,"Delivery Service, E-Commerce, Logistics",Angel,—,"New Delhi, Delhi, India","To create pervasive network where connections are simpler, more powerful, more affordable, more global and more available to all.", , , 
Scholify,—,Pre-Seed,—,"Bengaluru, Karnataka, India",Edutech, , , 
srJna,Education,Seed,—,"Jaipur, Rajasthan, India","SRJNA is a brand of Elation Edtech Pvt. Ltd., which helps schools to integrate hands on, affordable and turnkey STEM.", , , 
Heelium,"Fitness, Sporting Goods, Sports",Seed,—,"Pune, Maharashtra, India",Heelium is an athletic footwear and wearable startup with primary focus on sports safety and sustainability., , , 
Cleardekho,"Eyewear, Internet",Venture - Series Unknown,—,"Ghaziabad, Uttar Pradesh, India",Uttar Pradesh based online eyewear marketplace., , , 
Happyeasygo Group,"Tourism, Travel",Series A,—,"Haryana, Haryana, India",HappyEasyGo is an online travel domain., , , 
Little Leap,EdTech,"$300,000 ",ah! Ventures,New Delhi,Soft Skills that make Smart Leaders,2020,Vishal Gupta,Holistic Development Programs for children in age range 5-15
BHyve,Human Resources,"$300,000 ","ITO Angel Network, LetsVenture",Mumbai,A Future of Work Platform for diffusing Employee Tacit Knowledge and enabling Peer Learning Networks,2020,"Omkar Pandharkame, Ketaki Ogale",Backed by 100x.VC
Saarthi Pedagogy,EdTech,"$1,000,000 ","JITO Angel Network, LetsVenture",Ahmadabad,"India's fastest growing Pedagogy company, serving to school as an academic growth partner and provide 360° solutions to schools on Academic Strategies",2015,Sushil Agarwal,Pedagogy
AdmitKard,EdTech,,Pre-series A,Noida,A tech solution for end to end career advisory to students looking to study abroad.,2016,"$1,000,000 ","Vamsi Krishna, Pulkit Jain, Gaurav Munjal	#REF!"
MoEVing,MoEVing is India's only Electric Mobility focused Technology Platform with a vision to accelerate EV adoption in India.,,Seed,"Gurugram	#REF!","Vikash Mishra, Mragank Jain",2021,"$5,000,000 ","Anshuman Maheshwary, Dr Srihari Raju Kalidindi"
Godamwale,Logistics & Supply Chain,,Seed,Mumbai,Godamwale is tech enabled integrated logistics company providing end to end supply chain solutions.,2016,"1000000	#REF!","Basant Kumar, Vivek Tiwari, Ranbir Nandan"
Fullife Healthcare,Primary Business is Development and Manufacturing of Novel Healthcare Products in Effervescent forms using imported propriety ingredients.,,Series C,"Pharmaceuticals	#REF!",Varun Khanna,2009,"$22,000,000 ",Morgan Stanley Private Equity Asia
Fullife Healthcare,Primary Business is Development and Manufacturing of Novel Healthcare Products in Effervescent forms using imported propriety ingredients.,,Series C,"Pharmaceuticals	#REF!",Varun Khanna,2009,"$22,000,000 ",Morgan Stanley Private Equity Asia
Credgencies,AI & Debt,Seed Round,Undiclsosed,,Tech-enabled platform for resolution of non-performing assets,2018,Titan Capital,"Rishabh Goel, Anand Agrawal, Mayank Khera"
FlytBase,Technology,,Undisclosed,Pune,A drone automation platform,,Undisclosed,Nitin Gupta
Finly,SaaS,,Undisclosed,Bangalore,"It builds software products that makes work simpler, pleasant, and productive",,"Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.","Vivek AG, Veekshith C Rai"
Cub McPaws,E-commerce & AR,,Undisclosed,Mumbai,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,2010,Venture Catalysts,"Abhay Bhat, Kinnar Shah"
Open Secret,Food tech,,Undisclosed,,It produces and sells top quality snacks,,Matrix Partners,"Ahana Gautam, Udit Kejriwal"
Azah Personal Care Pvt. Ltd.,Health,Pre series A,Undisclosed,Gurugram,Aims to solve some problems in the feminine hygiene sector,2018,"Kunal Bahl, Rohit Bansal.","Mohammed, Shashwat Diesh"
DROR Labs Pvt. Ltd,Safety tech,,Undisclosed,Delhi,It uses technology to create a trust-based network of responsible citizens to ensure safety,2018,Inflection Point Ventures,"Dhiraj Naubhar, Dheeraj Bansal"
Pumpkart,E-marketplace,,Undisclosed,Chandigarh,B2B model for appliances and electrical products,2014,Dinesh Dua,KS Bhatia
Afinoz,Fintech,,Undisclosed,Noida,Online financial marketplace for customized rate quotes on loans and investment products in India,,Fintech innovation lab,Rachna Suneja
Ninjacart,B2B Supply Chain,,Undisclosed,,"It connects producers of food directly to retailers, restuarants and service providers.",2015,"Walmart, Flipkart","Thirukumaran Nagarajanin, Vasudevan Chinnathambi"
Binca Games,Games,,Undisclosed,Mumbai,It offers games that are available across India and UK.,2014,Sunil Gavaskar,"Rubianca Wadhwa, Sahil Wadhwa"
Cubical Labs,IoT,Series B,Undisclosed,,Home automation solution provider,2013,Rockstud Capital,"Dhruv Ratra, Swati Vyas"
Sportido,Sports,Series B,Undisclosed,Noida,It is a sports discovery app that helps to find people and places to play 700+ sports,2015,"Inflection Point Ventures, SucSEED Venture Partners.","Neeraj Aggarwala, Akhil Ramachandran"
PadCare Labs,Hygiene management,Pre-seed,Undisclosed,Pune,Converting bio-hazardous waste to harmless waste,2018,Venture Center,Ajinkya Dhariya
Metvy,Networking platform,Pre-series,Undisclosed,Gurgaon,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,2018,HostelFund,Shawrya Mehrotra
Medfin,HealthTech,Series A,Undisclosed,Bangalore,Medfin is a Discovery platform for medical procedures and financing.,2017,"Axilor Ventures, S.D. Shibulal","Arjun Kumar, Arun Kumar, Sidharth Gurjar"
MasterG,Fashion startup,,Undisclosed,New Delhi,MasterG is a design and skill development organisation.,2015,Acumen Fund's angel programme,Gayatri Jolly
Pine Labs,FinTech,,Undisclosed,Noida,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,1998,"Mastercard, Temasek Holdings",Amrish Rau
EWar,Gaming,Pre-series A,Undisclosed,Bangalore,EWar Games is a e-sports and real-time gaming start-up.,2019,"Jindal Steels, Jeet Banerjee","Parth Chadha, Rahul Singh"
Voosh,Food Industry,Pre-seed,Undisclosed,Bangalore,Building India's largest digital food service brand,2020,Better Capital,Priyam Saraswat
Hudle,Sports,Pre-series A,Undisclosed,New Delhi,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,2016,Survam Partners,Suhail Narain
Fleeca India,Tyre management,,Undisclosed,Jaipur,FLEECA is a Tyre Care Provider company.,2016,Bridgestone India,Tikam Jain
Tinker Coders,EdTech,Seed,Undisclosed,Noida,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,2020,STEMROBO Technologies,Anoop Gautam
NeoDocs,HealthTech,Pre-seed,Undisclosed,Mumbai,Neodocs analyses medical reports and provides personalised health recommendations remotely.,2020,9Unicorns Accelerator Fund,"Anurag Meena, Nikunj Malpani, Pratik Lodha"
The ePlane,Aero company,Seed,Undisclosed,Chennai,Transforming the mobility landscape using aerial transport.,2016,Speciale Invest,"Satya Chakravarthy, Pranjal Mehta"
Swipez,FinTech,,Undisclosed,Pune,Swipez is a payment collection platform.,2014,"9Unicorns, Anicut",Vivek Iyer
Humus,AgriTech,,Undisclosed,Bangalore,Farmgate to Retail outlet Agri-Fresh produce supply chain,2019,"Venture Catalysts, 9Unicorns, We Founders Circle.","Manjunatha T N, Shilpa Gopalaiah"
Artivatic.ai,Tech company,,Undisclosed,Bangalore,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",2017,"SenseAI Ventures, Saurabh Chugh",Layak Singh
Prescinto,Solar Monitoring Company,Seed,Undisclosed,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,2016,"Startup incubator, Accelerator Venture Catalysts","Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon"
Toppeq,SaaS startup,Seed,Undisclosed,Mumbai,SaaS-based equity management platform,2019,,Nandini Sankar
FreshToHome,E-commerce,,Undisclosed,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2015,Investment Corporation of Dubai (ICD),Shan Kadavil
KIKO TV,Video streaming platform,Seed,Undisclosed,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,2020,"9Point8 Capital, Sunil Kumar Singhvi","Shivam Varshney, Alok Chawla"
Smallcase,FinTech,,Undisclosed,Bangalore,Changing how India invests in equities,2015,"WEH Ventures, BEENEXT","Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath"
Gamerji,Gaming startup,Seed,Undisclosed,Ahmedabad,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",2018,La Gajjar Group.,"Soham Thacker, Valay Patel, Varun Gajjar"
KopyKitab,EdTech,,Undisclosed,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",2013,"Paula Mariwala, Siddharth Anand","Amit Shrivastava, Sumeet Verma"
Omatra Hotels,Hospitality,Seed,Undisclosed,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,2017,Capify,"NAVEED AHAMED, SYED SAQQA ABBAS"
Awign,Job portal,Pre-series B,Undisclosed,Bangalore,Operations and manpower outsourcing startup,2016,"Unitus Ventures, Work10M","Annanya Sarthak, Gurpreet Singh, Praveen Sah"
Astrogate Labs,Spacetech,,Undisclosed,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,2017,"Venture Catalysts, Speciale Invest",
Power Gummies,HealthTech,Bridge,Undisclosed,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2018,Venture Catalysts,Divij Bajaj
Inntot,Tech company,,Undisclosed,Kerala,"Inntot Technologies, is a technology driven company.",2014,Unicorn India Ventures,Rajith Nair
LightSpeedAI,Photonics startup,,Undisclosed,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,2019,"YourNest, growX ventures","Rohin Y, PV Ramana"
Grip Invest,FinTech,Pre-series A,Undisclosed,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020,Gemba Capital,"Nikhil Aggarwal, Vivek Gulati"
Unacademy,EdTech,,Undisclosed,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2015,"Dragoneer Investment Group, Tiger Global Management","Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta"
Nykaa,Cosmetics,,Undisclosed,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2012,"Alia Bhatt, Katrina Kaif",Falguni Nayar
Prolixr,Skincare startup,Seed,Undisclosed,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,2018,"Alfa Ventures, Divij Bajaj","Aditya Sharma, Jayesh Hans"
Instamojo,FinTech,,Undisclosed,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2012,"BASE, Gunosy Capital","Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain"
Thrive,FoodTech,Pre-series A,Undisclosed,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020,"Whiteboard Capital, Ahimsa Capital","Dhruv Dewan, Krishi Fagwani"
Kitchens Centre,Proptech,Pre-series A,Undisclosed,New Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2019,"Jonathan Swanson, Ankush Gera",Lakshay Jain
Shilpa Sciences,HealthTech,Pre-series A,Undisclosed,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2014,AngelList India,Ashwin Lal
Arzooo,Tech Startup,,Undisclosed,Bangalore,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",2016,"3Lines, Jabbar Internet Group","Khushnud Khan, Rishi Raj Rathore"
Oga Fit's,Fitness startup,Pre-series A,Undisclosed,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2017,9Unicorns,Ashish Rawat
LAVAL,Cosmetics,Pre-series A,Undisclosed,Bangalore,"Laval Cosmetics, affordable makeup for all ages",2016,Jazal Group,"Shrishti, Prithika"
GalaxyCard,FinTech,Seed,Undisclosed,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2017,India Accelerator,"Amit Kumar, Gunjeet Singh"
iKure,HealthTech,,Undisclosed,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2010,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",Sujay Santra
TUBBR,Social Media,,Undisclosed,"Frisco, Texas, United States",World's First Personal Social Network,2019,Global Ascent Partners,"Saurabh Uttam, Ravi Singhal"
Universal Sportsbiz Pvt Ltd,Fashion startup,,Undisclosed,Bangalore,A fashion startup based in Bengaluru.,2012,"Accel, Alteria Capital",Anjana Reddy
Lattu Kids,EdTech,,Undisclosed,Mumbai,Lattu kids is an edutainment platform for preschool kids.,2017,Mumbai Angels Network,Vivek Bhutyani
Steradian Semiconductors,Deeptech,,Undisclosed,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,2016,Endiya Partners.,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi"
Traya,HealthTech,Seed,Undisclosed,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,,"Kae Capital, Whiteboard Capital","Altaf Saiyed, Saloni Anand"
Mitron TV,Video platform,,Undisclosed,Bangalore,Mitron is a free short videoplatform for next generation,2020,9Unicorns,"Shivank Agarwal, Anish Khandelwal"
Expertrons,EdTech,,Undisclosed,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,2019,"Rohit Chanana, Sukanta Ganguly",Jatin Solanki
Agrix,AgriTech,,Undisclosed,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",2020,Maple Capital Advisors,"Nilay Pandey, Saurav Singh, Vivek Kumar"
BharatAgri,AgriTech,Pre-series A,Undisclosed,Pune,A Smart Farming Technology Platform for Indian Farmers,2017,"021 Capital, India Quotient","Siddharth Dialani, Sai Gole"
Finelistings,Luxury car startup,,Undisclosed,New Delhi,A Used Luxury Car Marketplace,2015,Justdial,Aneesh Mathur
Wellversed,Healthcare,Pre-series A,Undisclosed,New Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,2018,"KLUB Works, Shankar Narayanan","Aanan Khurma, Aditya Seth, Ripunjay Chachan"
Nykaa,Cosmetics,,Undisclosed,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2012,"Alia Bhatt, Katrina Kaif",Falguni Nayar
Snackible,Healthcare,Bridge,Undisclosed,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,2015,"Mumbai Angels, Murali Nair",
Nykaa,E-commerce,,Undisclosed,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2012,"Katrina Kaif, Steadview Capital",Falguni Nayar
TagZ Foods,Food,,Undisclosed,Bangalore,TagZ Foods is a supplier of snacks and food products.,2019,"Exfinity Venture Partners, Shesh Kondi","Sagar Bhalotia, Anish Basu Roy"
Ahaguru,Edtech,Series A,Undisclosed,Chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",2012,Anand Mahindra,"Gomathi S, Dr Balaji Sampath"
Hire Me Car,Car Service,Seed,Undisclosed,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,,,Pankaj Sharma
Harmonizer India,Tech Startup,,Undisclosed,Bangalore,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",2019,Kapil Dev,M R Srinivas
RACEnergy,Automobiles,,Undisclosed,Hyderabad,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,2018,"growX Ventures, Huddle (Incubator)","Arun Sreyas, Gautham Maheswaran"
ReNEWate,Real Estate,Pre-seed,Undisclosed,Pune,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",2018,Real Estate Accelerator Program,Supratik Ghatak
Tango Eye,SaaS startup,Seed,Undisclosed,Chennai,Retail Video Analytics SaaS product,2018,"Riso Investments, Lenskart",Surender Gounder
Rare Planet,Reatil startup,Pre-series A,Undisclosed,Kolkata,Rare Planet sells handicrafts made by local artisans.,2015,Venture Catalysts,"Ranodeep Saha, Vijay Kumar"
MikeLegal,LegalTech,Seed,Undisclosed,Gurugram,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,2017,"SOSV, Artesian","Tushar Bhargava, Anshul Gupta"
Gourmet Garden,Consumer Goods,,Undisclosed,"Palmwoods, Queensland, Australia",Gourmet Garden is a global market leader in chilled convenient packaged herbs.,1999,Advent Partners,Arjun Balaji
PakkaProfile,Recruitment startup,Seed,Undisclosed,Bangalore,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",2019,Java Capital,"Nagmanjunath Shivakumar, Savio Sebastian"
Unocoin,FinTech,Series A,Undisclosed,"Tumkur, Karnataka","Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",2013,"Digital Finance Group, FundersClub","Abhinand Kaseti, Harish B V, Sathvik Vishwanath, Sunny Ray"
Pesto,Edtech,,Undisclosed,New Delhi,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,2017,"Sriharsha Majety, Rahul Jaimini","Andrew Linfoot, Ayush Jaiswal"
Bambrew,Packaging solution startup,Pre-seed,Undisclosed,Bangalore,Bambrew is an online shop for reusable bamboo straws.,2018,Upsparks,Vaibhav Anant
Omnify,SaaS startup,Pre-series A,Undisclosed,"San Francisco Bay Area, Silicon Valley, West Coast",Omnify is a Global SaaS platform for Small Services Business,2016,"Saurabh Arora, LD Sharma","Kabandi Saika, Manik Mehta"
FanPlay,Gaming,Seed,Undisclosed,New Delhi,FanPlay Technologies operates as a real-money gaming startup.,2018,"Core91 Fund, Anupam Mittal","Bharat Gupta, Pritesh Kumar"
Invento,AI Startup,,Undisclosed,Bangalore,Invento Robotics specializes in developing service robots intended for customer interactions.,2016,"Chiripal Group, Ratish Kumar Nair","Balaji Viswanathan, Bharat Kumar, Mahalakshmi Radhakrishnan"
AnalytIQSports's SuperCric,Entertainment,,Undisclosed,Bangalore,SuperCric is India's first strategy Cricket Manager simulation game,2019,,"Suhail Chandhok, Arvind Sivdas, Dhanya Param"
SpeakIn,Social Network,,Undisclosed,Noida,"AI-enabled network of speakers and thought leaders, aka. experts",2018,Homage Ventures.,Deepshikha Kumar
LetsUp,Publication,,Undisclosed,Mumbai,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",2015,,Suhas raikar
Newsreach,Publication,,Undisclosed,Gujarat,NewsReach India offers partner publications a digital footprint,2018,Mumbai Angels,"Darshan Shah, Soniya Kundnani"
WE-Hub,Entreprenurship,,Undisclosed,Hyderabad,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,2018,,Deepthi Ravula
Vicara,Tech Startup,,Undisclosed,Bangalore,A deep tech startup pioneering in motion-based interfaces and insights.,2017,,"Abhishek Satish, Adarsh Warrier"
Trukky,Logistics,,Undisclosed,Ahmedabad,"Transportation, logistics services & cargo services.",2015,Mumbai Angels.,"Saswat Sahu, Rishi Raj"
ConnectedH,HealthCare,,Undisclosed,Gurgaon,The company’s vision is simple – Connected Healthcare.,2016,,"Shubham Gupta, Suresh Singh"
Customfit ai,SaaS startup,,Undisclosed,Bangalore,Operates on a SaaS model by providing a hyper-personalised website to users.,2019,,"Ashwin Kumar, Shoaib Mohammed"
Nirmata,Tech,,Undisclosed,San Franciscao,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,2013,"Damien Toledo, Jim Bugwadia, Ritesh Patel","Damien Toledo, Jim Bugwadia, Ritesh Patel"
Hire Me Car,TravelTech,Seed,Undisclosed,Noida,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,2015,US based NRI Investors,Anmol Singh Jaggi
Oga Fit,Fitness startup,Pre-series A,Undisclosed,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2017,"Inflection Point Ventures, Mitesh Shah",Ashish Rawat
Codeyoung,EdTech,Seed,Undisclosed,Bangalore,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,2019,Guild Capital,"Shailendra Dhakad, Rupika Taneja"
MobiGarage,E-commerce,Pre-series A,Undisclosed,New Delhi,An ecommerce platform for refurbished electronics.,2017,,"Vaibhav Kapoor, Pulkit Kapoor"
WeInnovate Biosolutions,Startup laboratory,Seed,Undisclosed,Pune,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,2016,Chiratae ventures,"Dr Milind Choudhari, Dr Prasad Bhagat, and Dr Anupama"
