Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Investor,Founders,Data Year
PinkBlue,"Health Care, Hospital, Supply Chain Management",Seed,300000.0,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies, , , ,2018
Eduvanz,"Finance, Financial Services",Angel,500000.0,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.", , , ,2018
Rupeek,"Financial Services, Lending",Series A,6830000.0,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans., , , ,2018
Backpacker Panda Holidays Private Limited,"Tourism, Travel",Series A,1400000.0,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel., , , ,2018
Shape (School Health and Physical Education),Education,Seed,200000.0,Pune,Physical education start up, , , ,2018
Placio,"Hospitality, Real Estate",Seed,2000000.0,Noida,Placio is a student housing and a complete broker-free platform., , , ,2018
Aviom India Housing Finance,Finance,Series A,2190000.0,New Delhi,Delhi based housing finance company., , , ,2018
GenRobotic,Market Research,Seed,,"Trivandrum, Kerala, India",A Robotic Company., , , ,2018
HeyHolidays,"Tourism, Travel",Seed,1000000.0,Bangalore,"HeyHolidays, a global player in online vacation rentals.", , , ,2018
Pratilipi,"Digital Media, EBooks, Publishing, Reading Apps",Series A,4300000.0,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages, , , ,2018
SectorQube,"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",Seed,,"Ernakulam, Kerala, India",SectorQube develops smart kitchen devices that make food automatically., , , ,2018
Food Memories,"Food and Beverage, Food Processing",Seed,,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally., , , ,2018
ZAMROO,"Internet, Marketplace, Shopping",Seed,,"India, Asia",Zamroo is a growing mobile marketplace that allows users to buy and sell locally., , , ,2018
Silversparro Technologies Pvt. Ltd,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Seed,300000.0,Gurgaon,Silversparro is a deep learning technology solution provider., , , ,2018
Creator’s Gurukul,Facilities Support Services,Angel,,Gurgaon,A coworking space provider., , , ,2018
Emflux Motors,"Automotive, Electric Vehicle, Energy",Seed,364846.0,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation., , , ,2018
Tricog Health Services Pvt Ltd,"Health Care, Health Diagnostics, Predictive Analytics",Series A,4000000.0,Bangalore,Predictive Healthcare Analytics Company, , , ,2018
Scapic,"Cloud Computing, Computer, SaaS, Software",Seed,500000.0,Bangalore,Virtual/Augmented Reality Start Up ., , , ,2018
6Degree,"Fashion, Lifestyle, Retail",Seed,400000.0,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform, , , ,2018
Chrysalis (EZ Vidya),Education,Seed,,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization, , , ,2018
Ekincare,Medical,Series A,1500000.0,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere., , , ,2018
Streo,Music Streaming,Seed,,Gurgaon,"Live stream music from nightclubs, bars & festivals!", , , ,2018
Groww,"Finance, Impact Investing, Internet",Seed,120000.0,"Kormangala, Karnataka, India",Groww offers a new way of investing money., , , ,2018
Cell Propulsion,—,Seed,102200.0,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles., , , ,2018
Chezuba,"Internet, Social Entrepreneurship",Angel,20440.0,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide, , , ,2018
Ontrack Technologies Pvt. Ltd,Retail,Seed,,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis., , , ,2018
Wealthtrust,"Finance, Impact Investing, Mobile Apps",Seed,500000.0,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online., , , ,2018
Faclon Labs,"Cloud Computing, Computer, Software",Seed,,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart., , , ,2018
Awign Enterprises,"Business Development, Market Research, Outsourcing",Seed,730000.0,Bangalore,Operations and manpower outsourcing startup, , , ,2018
CollPoll,Education,Seed,,Bangalore,World-class Enterprise System for Education., , , ,2018
Zyla Health,"Health Care, Hospitality",Seed,,New Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients., , , ,2018
Hubhopper,"Internet, Social News, Sports",Series A,500000.0,Delhi,Get your daily dose of interest as summaries from news and magazine stories ., , , ,2018
Rubix108 Technologies,Information Technology,Seed,1000000.0,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences., , , ,2018
Workflexi,Human Resources,Seed,146000.0,Bangalore,"Be Smart, Work on Contract,Be Smart, Hire on Contract", , , ,2018
Streak,Financial Services,Seed,328500.0,Bangalore,Algorithmic trading platform., , , ,2018
Kuants,Financial Services,Seed,73000.0,Gurgaon,Algorithmic trading platform., , , ,2018
NiYO Solutions,"Finance, Financial Services, FinTech",Series A,13200000.0,Bangalore,NiYO is a fintech company that helps salaried employees access company benefits and other financial services., , , ,2018
Hippo Video,"Customer Service, Software, Video, Video Streaming",Seed,,Chennai,A video recording and sharing software., , , ,2018
Satvacart,"E-Commerce, Food Processing",Seed,,Gurgaon,Satvacart is a Gurgaon’s largest online supermarket, , , ,2018
Daaki,Health Care,Angel,,Bangalore,Sports Nutrition startup, , , ,2018
Simulanis,Training,Seed,500000.0,New Delhi,A Delhi-based Augmented Reality and Virtual Reality technology development company., , , ,2018
MY CHIRAAG CAB,Travel,Seed,1000000.0,Jaipur,MY CHIRAAG CAB SERVICES PVT LTD, , , ,2018
WOTU,Food and Beverage,Seed,,Bangalore,It operates a business-to-business e-commerce portal for food and beverages., , , ,2018
Flathalt,—,Angel,50000.0,Gurgaon,FInd your Customized Home here., , , ,2018
True Elements,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",Seed,730000.0,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors., , , ,2018
Trendlyne Technologies,Financial Services,Seed,200000.0,Bangalore,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors., , , ,2018
Planys Technologies,"Manufacturing, Oil and Gas, Robotics",Series A,2046920.0,Chennai,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions., , , ,2018
HealthPlix,"Fitness, Health Care, Wellness",Series A,3000000.0,Bangalore,HealthPlix is a healthtech startup, , , ,2018
dishq,—,Seed,400000.0,Bengaluru,dishq leverages food science and machine learning (AI) to understand and predict people's tastes., , , ,2018
Entropik Technology,"Artificial Intelligence, Computer, Machine Learning",Seed,1100000.0,Bengaluru,The boundaries between Human and Machines are shrinking fast., , , ,2018
myHQ,"Collaboration, Communities, Coworking, Sharing Economy",Series A,500000.0,Delhi,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent., , , ,2018
Trell,—,Seed,1250000.0,"Bangalore City, Karnataka, India",Trell is a location based network which helps you in exploring amazing experiences and annotating places around you., , , ,2018
Kidovators (by GyanLab),"Big Data, EdTech, Machine Learning",Seed,180000.0,Bangalore,Building future human capital through 21st Century Skills programs for K-12, , , ,2018
Log 9 Materials,Nanotechnology,Seed,438000.0,"Uttar Pradesh, India, Asia",Log 9 Materials is a nano-materials manufacturing and RnD startup, , , ,2018
VTION,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",Seed,280320.0,Gurgaon,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem., , , ,2018
HousingMan.com,—,Seed,1503800.0,Bengaluru,"New Apartments, Flats for Sale in Bangalore", , , ,2018
Steradian Semiconductors,—,Seed,,Bangalore,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar., , , ,2018
RupeeCircle,"Financial Services, Lending, Peer to Peer",Seed,584000.0,Mumbai,RupeeCircle is a new age finance company., , , ,2018
Wooden Street,"E-Commerce, Furniture, Home Decor, Interior Design, Internet",Series A,1000000.0,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces., , , ,2018
The Ken,Digital Media,Series A,1500000.0,Bengaluru,The Ken is India’s first subscriptions-only business news site, , , ,2018
SaffronStays,—,Seed,2000000.0,Mumbai,SaffronStays connects travellers to India's Incredible hosts., , , ,2018
Vebbler,"File Sharing, Personalization, Social Media",Seed,,Bengaluru,A personal network for close people, , , ,2018
Foyr,"Home Decor, Interior Design",Series A,4200000.0,Pune,"Foyr.com is India's first online, automated interior designer", , , ,2018
MEngage,"Health Care, Medical Device, Mobile Apps",Seed,175000.0,Jaipur,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms., , , ,2018
Inner Being Wellness,—,Angel,511000.0,Hyderabad,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.", , , ,2018
Kobster,"E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",Seed,,Chennai,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle., , , ,2018
Wishberry,"Crowdfunding, Finance, Financial Services",Series A,1460000.0,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas., , , ,2018
McXtra,"Finance, Financial Services, Insurance",Seed,1300000.0,"Andheri, Maharashtra, India",McXtra is a digital insurance broking startup., , , ,2018
Magic Crate,"Children, Education, Online Portals",Seed,,Bangalore,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.", , , ,2018
SmartVizX,"Software, Virtual Reality",Seed,1450000.0,Noida,It is a Virtual Reality Solutions StartUp, , , ,2018
MySEODoc,—,Seed,,Delhi,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management", , , ,2018
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,—,Seed,2920.0,Pune,Digital Marketing Agency, , , ,2018
Scale Labs,—,Seed,1000000.0,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands., , , ,2018
HungerBox,"B2B, Food and Beverage, Food Delivery",Series A,4500000.0,Bengaluru,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India., , , ,2018
Biryani By Kilo,"Catering, Food and Beverage, Food Delivery, Food Processing",Seed,1000000.0,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients., , , ,2018
Wholesome Habits (EAT Anytime),"Food and Beverage, Snack Food",Seed,500000.0,Mumbai,Wholesome Habits (EAT Anytime) is a healthy snacks Company., , , ,2018
GoBumpr,"Automotive, E-Commerce, Mobile",Seed,600000.0,"Mylapore, Tamil Nadu, India",Car Service and Bike Service Mobile App, , , ,2018
Fixpocket,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Seed,250000.0,Ahmedabad,Fixpocket is a internet-based startup., , , ,2018
edureka!,"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development",Series A,2000000.0,Bangalore,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.", , , ,2018
Hashtag Loyalty Private Limited,"Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Seed,,Mumbai,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses., , , ,2018
Wow Express,"Delivery, Information Technology, Mobile Apps",Series A,4500000.0,Mumbai,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.", , , ,2018
ZunRoof,"Environmental Consulting, Renewable Energy",Angel,242360.0,Gurgaon,ZunRoof is a rooftop focused solar startup., , , ,2018
Eggoz,"Food and Beverage, Food Processing",Angel,175200.0,"Indore, Madhya Pradesh, India",Eggoz is a full-stack layer poultry business operator & service provider ., , , ,2018
Sqrrl Fintech,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Seed,1000000.0,Gurgaon,Personal Finance, , , ,2018
GalaxyCard,"Finance, Financial Services, FinTech",Seed,,Noida,GalaxyCard is a mobile based Instant credit card., , , ,2018
IndiQube,"Commercial Real Estate, Coworking, Office Administration, Real Estate",Series A,15000000.0,Bengaluru,IndiQube is a provider of co-working spaces based in Bengaluru., , , ,2018
EGK Foods,"Food and Beverage, Food Processing, Organic Food, Snack Food",Seed,292000.0,Mumbai,A food processing enterprise registered with StartUp India ., , , ,2018
NirogStreet,"Apps, Health Care, Internet, Mobile Apps, Personal Health",Seed,300000.0,Gurgaon,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation., , , ,2018
Pixr8,"Digital Media, Incubators, Social Entrepreneurship",Seed,50000.0,"Ghaziabad, Uttar Pradesh, India",Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work., , , ,2018
Nivesh.com,"Finance, Financial Services, Marketing",Seed,438000.0,Noida,Nivesh.com is a mass market mutual funds investment platform., , , ,2018
Theranosis Life Sciences,"Biotechnology, Health Care, Life Science, Medical Device",Seed,,Hyderabad,A fully functioning cell culture facility and molecular biology setup., , , ,2018
Poshmiles Online Solutions Private Limited,Travel,Seed,,Bengaluru,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest., , , ,2018
Reculta,"Education, Human Resources",Seed,,Noida,A campus recruitment solution provider., , , ,2018
Orbo.ai,Internet,Seed,,Mumbai,Orbo is a computer vision and deep facial technology company., , , ,2018
Inntot Technologies,Consumer Electronics,Seed,,"Kochi, Kerala, India","Inntot Technologies, is a technology driven company.", , , ,2018
Zoctr Health,"Apps, Health Care, Hospital, Mobile Apps",Seed,,"Powai, Assam, India",Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company, , , ,2018
Hey Deedee,"Delivery Service, Logistics, Service Industry",Seed,481800.0,Mumbai,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems., , , ,2018
DigiConnectt Technologys,"Information Services, Information Technology",Seed,125000.0,Bengaluru,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness ., , , ,2018
Locus.sh,"Big Data, Data Visualization, Logistics, Software",Series A,4000000.0,Bangalore,Locus is an intelligent logistics automation platform., , , ,2018
Sports Flashes Pvt. Ltd,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",Seed,1000000.0,New Delhi,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.", , , ,2018
Inc42,"Media and Entertainment, News, Publishing",Seed,,New Delhi,Inc42 is one of the leading tech media publications of India., , , ,2018
Picxy,Internet,Seed,130000.0,"Guntur, Andhra Pradesh, India","A stock photo startup based in Amravati, Andhra Pradesh.", , , ,2018
Huddle,Consulting,Seed,300000.0,Haryana,A coworking incubator Company., , , ,2018
Benepik,Human Resources,Seed,,Gurgaon,HR Technology start-up., , , ,2018
Cash Suvidha,Finance,Seed,1000000.0,New Delhi,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India., , , ,2018
Smartcoin,"Big Data, Financial Services, Machine Learning, Predictive Analytics",Seed,2000000.0,Bangalore,Providing financial access to the millions of mobile users in India using alternative credit assessment, , , ,2018
Carmel Organics,"Agriculture, AgTech, Manufacturing",Series A,,"Indore, Madhya Pradesh, India","Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.", , , ,2018
Roadcast,—,Angel,250000.0,New Delhi,Transforming the way businesses deliver. Work-force & fleet mobility tools., , , ,2018
Printline Media(ThePrint),"Digital Media, News, Publishing",Seed,509540.0,New Delhi,A digital news platform., , , ,2018
Creditas Solutions,Financial Services,Seed,,Gurgaon,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers., , , ,2018
UrbanPiper,Software,Seed,,Bengaluru,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence., , , ,2018
Doxper,"Health Care, Hospital",Seed,1051200.0,Mumbai,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information, , , ,2018
i2ifunding,"Crowdfunding, Finance, Financial Services",Angel,730000.0,Noida,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments., , , ,2018
ShakeDeal,"B2B, E-Commerce, Enterprise",Seed,,Bangalore,Home of B2B Commerce, , , ,2018
HelloVerify,"Fraud Detection, Information Services, Security",Seed,,Noida,HelloVerify is an online background check platform., , , ,2018
Fasal,"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Seed,120000.0,Bengaluru,Climate Smart Precision Agriculture Platform, , , ,2018
CoinGeto,"Cryptocurrency, Trading Platform",Seed,1752000.0,Delhi,CoinGeto is one of India’s most advanced digital assets exchange., , , ,2018
Avail Finance,"Finance, FinTech, Mobile Payments",Series A,17200000.0,Bangalore,Avail is a mobile-first platform aiming to financially include the urban mass of India., , , ,2018
Tripeur,Information Technology,Seed,600000.0,Bengaluru,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software, , , ,2018
Wedeterna,Wedding,Angel,,Bangalore,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.", , , ,2018
Stumagz,Digital Media,Seed,,Hyderabad,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult., , , ,2018
Doubtnut,"E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",Seed,511000.0,Gurgaon,Gurgaon based E-learning platform., , , ,2018
MCaffeine,Consumer Goods,Seed,467200.0,Mumbai,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity., , , ,2018
TrustCheckr,Information Technology,Angel,100000.0,Bengaluru,A Bengaluru-based fraud analytics solution provider ., , , ,2018
HealthAssure,"Fitness, Health Care, Wellness",Seed,1000000.0,Mumbai,HealthAssure provides access to Discounted & High Quality primary care medical network., , , ,2018
Picture TIme,Digital Entertainment,Seed,3650000.0,New Delhi,Operator of low-cost mobile cinema theatres in rural areas., , , ,2018
1Crowd,"Crowdsourcing, Financial Services, Funding Platform, Venture Capital",Angel,3500000.0,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures, , , ,2018
Aarav Unmanned Systems,"Delivery, Drones, Geospatial, Robotics",Seed,,Bangalore,Professional Drones for Enterprise Applications, , , ,2018
Wellthy Therapeutics Pvt Ltd,"Health Care, Hospital",Seed,1971000.0,Mumbai,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.", , , ,2018
Nua,Consumer Goods,Seed,,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products., , , ,2018
Kuvera.in,Financial Services,Angel,250000.0,Bangalore,An online platform for mutual fund investments., , , ,2018
Livehealth,"Health Care, Information Technology, Management Information Systems",Seed,1100000.0,Pune,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health, , , ,2018
Gramophone,Farming,Seed,1000000.0,"Indore, Madhya Pradesh, India",An agricultural inputs startup Company., , , ,2018
Ora,"Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",Seed,,Kolkata,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata., , , ,2018
Buddy4Study.com,"Career Planning, Education, Higher Education, Service Industry",Series A,3000000.0,Noida,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes., , , ,2018
Predible Health,Medical Device,Seed,,Bangalore,Healthcare devices for cancer detection, , , ,2018
Syncremedies Healthcare Pvt Ltd,"Alternative Medicine, Health Care",Seed,,Bangalore,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.", , , ,2018
Blueleaf Cyberspace Systems,"Internet, Software",Seed,,Bangalore,Bluleaf Cyberspace is Cloud Based Software Company., , , ,2018
Toffee,—,Seed,1500000.0,Gurgaon,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.", , , ,2018
ORO Wealth,—,Series A,1600000.0,Mumbai,Online wealth management platform, , , ,2018
HealWell24,"Dental, Elder Care, Health Care, Home Health Care, Personal Health",Seed,200000.0,Mumbai,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.", , , ,2018
Acko General Insurance,"Financial Services, Insurance, Private Social Networking",Series A,12000000.0,Mumbai,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers., , , ,2018
arzooo.com,"Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",Seed,219000.0,Bangalore,E-commerce website promising the best price on any product a consumer buys anywhere on the internet., , , ,2018
Bonphul Air Products,CleanTech,Angel,292000.0,Delhi,A clean tech product Company, , , ,2018
DheeYantra Research Labs,Artificial Intelligence,Seed,,Bangalore,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages", , , ,2018
Edyoo,Education,Seed,1000000.0,Bengaluru,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.", , , ,2018
Chtrbox,"Advertising, Internet, Marketing",Angel,146000.0,Mumbai,Chtrbox connects social media influencers with brands ., , , ,2018
Aashiyaan Housing and Development Finance,Financial Services,Seed,1971000.0,Kolkata,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own., , , ,2018
BetterPlace Safety Solutions Pvt. Ltd.,"Human Resources, Security, Training",Series A,3000000.0,"Bangalore City, Karnataka, India","BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.", , , ,2018
Cashkumar,"Consumer Lending, Finance, FinTech",Seed,730000.0,Bengaluru,A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India, , , ,2018
Rocketium,"Marketing, Social Media, Video",Seed,292000.0,Bangalore,Easy video creation for social media., , , ,2018
FreightBazaar,Transportation,Seed,,Hyderabad,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users., , , ,2018
OPEN,Banking,Seed,,Bangalore,Open up to a new world of Banking, , , ,2018
mfine,"Health Care, Hospital",Series A,4200000.0,Bengaluru,Hospital & Health Care Start up, , , ,2018
Earth Food,"Food and Beverage, Food Processing",Seed,934400.0,Pune,Earth Food is a healthy Food Start Up., , , ,2018
Charcoal Eats,Food Processing,Seed,730000.0,Mumbai,Charcoal Eats aims to bring Dominos style standardisation., , , ,2018
Wishfie,Apps,Seed,,Bangalore,A platform for people to express their opinions in form of short videos around any topic., , , ,2018
The Social Hook,Marketing,Seed,,Bengaluru,Fast growing Influencer Marketing platform in India., , , ,2018
FreightBro,"Apps, B2B, Freight Service, Logistics, SaaS, Shipping, Supply Chain Management, Transportation",Seed,,Mumbai,Software for the new-age freight, , , ,2018
Finwego,—,Seed,,Chennai,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees, , , ,2018
Cricnwin,"Digital Entertainment, Fantasy Sports, Gaming, Sports",Seed,,Gurgaon,Cricnwin is a Gurugram - based Fan Engagement Platform, , , ,2018
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2016, , ,2018
Wicked Ride Adventure Services Private Limited,"Automotive, Last Mile Transportation, Peer to Peer, Ride Sharing",Venture - Series Unknown,10000000.0,Bangalore,Peer-to-Peer motor vehicles sharing, , , ,2018
Career Anna,"Commercial, E-Learning, Education",Seed,584000.0,Bangalore,India's Go to Career Commerce Portal, , , ,2018
ERUDITUS Executive Education,"Continuing Education, EdTech, Education, Skill Assessment",Series C,40000000.0,Mumbai,"Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes", , , ,2018
Gaia Smart Cities,"Smart Cities, Telecommunications",Seed,,Mumbai,Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace., , , ,2018
Square Off,"Internet of Things, Robotics",Seed,1100000.0,Mumbai,Delivering Imagination, , , ,2018
UrbanClap,"Apps, Home Services, Information Services, Information Technology",Series D,50000000.0,Delhi,UrbanClap is India's leading managed marketplace for home services., , , ,2018
Hospals,"Medical, Tourism",Seed,1500000.0,New Delhi,Hospals is a medical tourism company., , , ,2018
Kogta Financial India Limited,Financial Services,Series B,22484000.0,Jaipur,Kogta Financial (India) Ltd is a retail-focused non banking financial company ., , , ,2018
Perspectico,"Career Planning, Education, Internet",Seed,,New Delhi,An Education Management startup., , , ,2018
The Souled Store,"Fashion, Graphic Design, Wearables",Venture - Series Unknown,3000000.0,Mumbai,"The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.", , , ,2018
Hush - Speak Up. Make Work Better,"Communities, Leisure, Mobile Apps, Software",Seed,657000.0,Bangalore,Enabling diversity of opinions in organizations, , , ,2018
Drivezy,"Automotive, Rental, Sharing Economy",Debt Financing,100000000.0,Bengaluru,Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family., , , ,2018
Freyr Energy,"Energy, Environmental Consulting, Renewable Energy, Solar",Series A,1500000.0,Hyderabad,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.", , , ,2018
NIRAMAI Health Analytix,"Health Care, Hospital",Seed,6000000.0,Bangalore,NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix., , , ,2018
CloudSek,"Information Technology, SaaS, Security",Seed,2044000.0,Bengaluru,Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats., , , ,2018
Lendbox,"Crowdfunding, Financial Services, Internet",Seed,876000.0,Delhi,Lendbox is India's leading peer-to-peer lending online lending platform., , , ,2018
Verloop,"Customer Service, Information Technology, Internet, Sales Automation",Series A,3000000.0,Bangalore,Verloop is an automated customer support and engagement platform., , , ,2018
Flickstree,"Advertising, Artificial Intelligence, Digital Media, iOS, Location Based Services, News, Video, Video on Demand, Video Streaming",Seed,,Mumbai,"Flickstree is a smart video content aggregator, powered by Artificial Intelligence.", , , ,2018
Paymatrix,"Credit Cards, Payments, Property Insurance, Property Management, Rental Property",Seed,100000.0,Hyderabad,India's Leading Property Rent management platform, , , ,2018
Idha Skin Clinic,"Beauty, Cosmetics, Health Care, Service Industry",Seed,73000.0,"Bangalore City, Karnataka, India",Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin., , , ,2018
InCred,"Banking, Finance, Financial Services",Private Equity,41900000.0,Mumbai,InCred Finance is a mumbai-based non-banking financial company, , , ,2018
Vedantu,"EdTech, Education, Mobile, Tutoring",Series B,11000000.0,Bangalore,Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers, , , ,2018
Sportido,"Social Media, Sports",Seed,,Noida,Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you., , , ,2018
Stelis Biopharma,Biopharma,Series B,100000000.0,Bangalore,Stelis Biopharma is a vertically integrated biopharmaceutical company, , , ,2018
Magicpin,"E-Commerce, E-Commerce Platforms, Retail",Series C,20586000.0,Gurgaon,"Magicpin is a platform where users and merchants in a locality discover, interact, and transact.", , , ,2018
Try & Buy,"E-Commerce, Fashion, Shopping",Seed,,New Delhi,Try & Buy, , , ,2018
Mech Mocha,"Digital Entertainment, Mobile, PC Games",Series B,3530000.0,Bangalore,Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ ., , , ,2018
Aye Finance,"Finance, Financial Services, Small and Medium Businesses",Debt Financing,1051200.0,Gurgaon,Aye Finance provides financial services to micro and small businesses in Northern India., , , ,2018
Aldopay,Mobile Payments,Seed,200000.0,Chennai,Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP., , , ,2018
